,tag_category,tag_value,keywords
49,人物类型,一般消费者,"吃货薯,老少皆宜,我今天已经买了三个了,减脂期的宝们,姐妹,我,姐们们快冲,大家,你们,人少,抹茶和朗姆酒提子黄油饼干都喜欢的姐妹,儿童或对酒精敏感的姐妹,好友相聚,美食爱好者,谁还没个,个人体验,追剧吃宵夜,跟我点,你爱我、我爱你,买家,我,芋泥控,这个系列每只都好看,爱巧克力的会喜欢,我只吃过,跟小伙伴们一起分享食用,店員,我的追剧宝藏零食,我,首選,美食爱好者,疲惫一周的自己,能吃得了肥肠的可以尝试,绝对没吃过,宝宝水果,你吃过,社友,你吃柿饼了吗,孕妇水果,先拍下的都可以发货了,姐妹,喜欢海盐味的奶盖,喜欢茶味重的姐妹,聪明的宝儿,欢迎各位小伙伴,美食爱好者,谁懂啊,饭醉少女,队伍长,很多人,喜欢芋泥的姐妹,小伙伴,隨時更新,面包控,小姐姐们,朋友,甜品搭子,两个女生,个人,宝,追蹤,很多顾客,我们,有想要预定的吗,人均£75,健康面包控,顾客来询问,甜酷"
50,人物类型,"一般消费者, 健康关注者",女性宫寒体虚
51,人物类型,"一般消费者, 健身减脂人群",健身减脂人群
52,人物类型,"一般消费者, 减肥者",减肥减脂
53,人物类型,"一般消费者, 妈妈","#姨妈#,妈妈很忙,#35岁女性#,#30岁的女人#,#40岁的女人#"
54,人物类型,"一般消费者, 孕妇","孕妇,孕妇坚果,所有女生,送礼"
55,人物类型,"一般消费者, 孕妇, 老人, 小孩",孕妇老人小孩便秘
56,人物类型,"一般消费者, 美食爱好者","预订,下午茶"
57,人物类型,"一般消费者, 运动者","不知道吃什么,运动后不知道吃什么"
58,人物类型,"一般消费者,上班族","上班族,办公室"
59,人物类型,"一般消费者,健康追求者","减脂,爱吃黏黏糯糯的姐妹,低卡,我,不敢想象,减脂,大体重减脂分享,那种天天吃玉米都不会吃腻的人,我,小基数减肥"
60,人物类型,"一般消费者,健身爱好者","个人,私教,健身"
61,人物类型,"一般消费者,健身者","不爱吃饭的人,马甲线,我的健身日常,健身"
62,人物类型,"一般消费者,减肥者","减肥小宝,减脂姐妹,熬夜党"
63,人物类型,"一般消费者,减脂期人群","姐妹,减脂期的姐妹"
64,人物类型,"一般消费者,家庭",家庭聚餐
65,人物类型,"一般消费者,忙碌人群","懒人,几分钟搞定"
66,人物类型,"一般消费者,特别是青少年",生长发育期的青少年
67,人物类型,"一般消费者,美食爱好者","巧克力控,美食日常,减脂的姐妹,看到,推荐,顾客,打工人"
68,人物类型,一般消费者、美食爱好者,有趣的人
69,人物类型,一般消费者/健康关注者,"我推荐,你身材走样,健康零食,管理期,吃货"
70,人物类型,一般消费者/健康意识强者,"仙女,经常火锅烧烤"
71,人物类型,一般消费者/健康追求者,"营养,减肥,面包控,减脂,健康,减脂期,健康零食,小基数减肥,减肥减脂吃这些,馋嘴,低卡零食,减脂期,减肥,减肥餐,大基数减肥,小基数减肥"
72,人物类型,一般消费者/懒人,懒人
73,人物类型,一般消费者/控糖者,"孕妇/妊娠糖尿病,控糖人士"
74,人物类型,一般消费者/游客,"100家探店计划,探店"
75,人物类型,一般消费者/爱好者,"我自己,我自己的天使们"
76,人物类型,一般消费者/粉丝,"巧克力控,公主们,芋泥控,pussypuppy粉丝,谁能拒绝"
77,人物类型,一般消费者/美食爱好者,"每个或大或小的心愿,记得联系店主提前预定,被我发现,派悦坊,跟随内心,分享,没人不爱,吃货薯,不吃甜的朋友,喜欢流心的小伙伴,老板娘,顾客,食客,巨大的幸福感受,朋友,我"
78,人物类型,一般消费者/节日庆祝者,"送礼,买月饼"
79,人物类型,一般消费者/节日收礼者,"送礼,AV8D,我"
80,人物类型,一般消费者/顾客,"恰锅留言,赢取霸王餐"
81,人物类型,一般消费者/食客,"小龍,龙宝们"
82,人物类型,一般游客,"容易饿的小伙伴,朋友闲聊"
83,人物类型,一般观众,"吃播,追剧,奶奶,爱了,抽空做一次,吃货,追剧者"
84,人物类型,一般读者/情感分享者,"我会被文字打动,情感树洞,感谢小红书平台"
85,人物类型,一般顾客,"员工主动提供意见,顾客选择口味,跟我来探店,我,吃得惯生蛋的朋友们"
86,人物类型,三十岁女人,三十岁女人
87,人物类型,上班族,"周一上班,打工人,打工人的打工餐,办公室零食,上班通勤穿搭,工作状态,my 上班通勤穿搭,上班族带饭,工作特别忙,放在工位,#月薪三千党的日常,每日返工,办公室零食,办公室零食,上班族带饭日常,打工人,上班之后,上班族必备,打工人,每周二四的下午茶,今天下午茶只能抢到这些,办公室,上班族,办公室零食,打工人,上班族带饭,办公室零食,上班族,零食,办公室,上班族,办公室,老要加班,办公室,上班族吃饭的365天,Strathfield,上班族吃什么,深圳打工人,10分钟就做好了,最近真的很忙,同事,工作日,加班,上班,员工餐,#一人食吃什么#,#上班族的早餐#,上班族带饭,打工人,每人消费99元,工作日,办公室零食,实习结束,上班族带饭,一起出去遛弯,上班族的早餐,减脂饱腹,一点也不会耽误时间,出门在外,办公室零食,打工人,办公室,办公室,办公室,打工人的打工餐,上班族,在公司,一人食,想来的宝子,办"
88,人物类型,"上班族, 减肥者","减脂,上班族,减肥减脂,姐妹,上班族,宝子,办公室,宝子们"
89,人物类型,"上班族, 学习族, 开车人","上班族,开车人,学习族"
90,人物类型,"上班族, 学生","轻食简餐,办公室,黄科大,一人食,学生党宿舍党,办公室,办公室,办公室,宿舍,学生,学生零食,宿舍美食,上班族,宿舍速食,宿舍"
91,人物类型,"上班族, 学生党, 管理期姐妹","学生党,上班族,管理期姐妹"
92,人物类型,"上班族, 家长","大人小孩,同事"
93,人物类型,"上班族, 巧克力爱好者","办公室,巧克力控"
94,人物类型,"上班族, 追剧爱好者","我的追剧宝藏零食,办公室"
95,人物类型,"上班族,健康追求者","减脂期,素食主义,宝宝,赶时间上班的,减脂的姐妹,精致养生女生"
96,人物类型,"上班族,健身者","姐妹们,练不瘦,打工人"
97,人物类型,"上班族,大学生","大学生早餐,上班族的早餐"
98,人物类型,"上班族,学生","学生,宿舍,上班族,上班族或者学生的日常食堂,办公室,学生,宿舍,学生,办公室"
99,人物类型,"上班族,学生党","上班族,学生党"
100,人物类型,"上班族,宝妈,学生","学生党,上班族,宝妈"
101,人物类型,"上班族,宝妈,学生党","宝妈,上班族,学生党"
102,人物类型,"上班族,家长","宝宝辅食,办公室"
103,人物类型,"上班族,年轻人","打工之余,聚会,约会"
104,人物类型,"上班族,打工人,学生党,宿舍党","学生党,宿舍党,打工人,上班族"
105,人物类型,"上班族,熬夜党","熬夜党,上班族"
106,人物类型,"上班族,闺蜜","我本人,小姐妹"
107,人物类型,上班族、学生党,"学生党,上班族"
108,人物类型,上班族/个人消费者,一人食
109,人物类型,上班族/健身者,"早八没时间吃早饭的姐妹们,减肥,全民健身时期,上班族"
110,人物类型,上班族/同事们,我和同事
111,人物类型,上班族/学生,"大食堂,办公室,学生,追剧必备,大学生,上班上学,浙大城院,浙江树人学院,毕业季,浙工大朝晖校区,打工人,饿了时,日常,关注健康和体重的朋友,周末,工作日,午餐,食堂,食堂,下午茶,上班时段,学生"
112,人物类型,上班族/宝妈,"宝妈创业,白领"
113,人物类型,上班族/家庭,"饱腹感很强,外卖运送服务,营业时间,吃法多样"
114,人物类型,上班族/忙碌人群,"来不及吃早饭,懒人"
115,人物类型,上班族/打工人,"上班族带饭日常,打工人减脂,打工人带饭,上班族带饭"
116,人物类型,上班族/打工者,"打工人的,本打工人,打工人的小零食"
117,人物类型,上班族/普通顾客,打工人的福音
118,人物类型,上班族/朋友聚餐,"和姐妹,小聚"
119,人物类型,上班族/游客,"多人排队,体育西地铁口"
120,人物类型,上班族/白领,写字楼
121,人物类型,上班族/观众,"办公室,追剧零食"
122,人物类型,上班族/通勤者,"边走边吃,刚好走到河西豆行"
123,人物类型,上班族/零食爱好者,"办公室,零食日常"
124,人物类型,上班族女性,平常不怎么喝酒的女生
125,人物类型,不分性别,男女同款
126,人物类型,不爱喝水的姐妹们,平时不爱喝水的姐妹们看过来
127,人物类型,专业人员,"设计师日常,室内设计师,大师"
128,人物类型,专业人士,"确有专长,补法分子张律师,巴格拉季昂皇室后裔,翡翠手镯专家习丹丹,侍酒师,王珺院长,陈勇院士,师承,医师,银发专家,彭说龙校长,蓝田董事长,团队成员名字,Clive.X,化妆师,我们是专业的,婚礼业内人"
129,人物类型,专业人士/教育工作者,"培训师,我"
130,人物类型,专业人士/爱好者,"张至顺,米晶子"
131,人物类型,专业人士和散客,"对品尝的散客,更适合专业人士"
132,人物类型,专业厨师,"PANZANI餐饮服务团队,主厨Jean-Paul Naquin"
133,人物类型,专业厨师/餐饮业者,"商用厨房设备,酒楼"
134,人物类型,专业宠物护理人员,"94年小姐姐2名,养宠经验10+年"
135,人物类型,专业导游,"故宫讲解证,本人有北京导游资格证"
136,人物类型,专业服务,"摄影师,装修设计,空间摄影师"
137,人物类型,专业烘焙人员,"烘焙人,蛋糕小哥"
138,人物类型,专业选手,"庄连兴,滕正伟,王士新,渔之源战队,张兴"
139,人物类型,业主,"女主人,业主,男主人,业主"
140,人物类型,业主/DIY者,"没有父母的参与,我"
141,人物类型,业主/装修者,装修日记
142,人物类型,业主/设计师,"橙子·空间设计,专注慈溪全案设计"
143,人物类型,个人,"#减肥减脂吃这些#,我,一人食一人居打卡,自己,我,一人食,我,我,一人食,我,我,一人食Vlog,我,一人食,我,老弟,我,我的生日,95年女孩,宝子们,我吃了4个,外贸公司会计,皮皮,舅舅,我,我,发小,朋友,懒人,#一人食吃什么#,一人食,我,一人食,一人食,一人食,我,一人食,我,我的早餐打卡,一个人也要好好吃饭,我,姐妹们,一人食,我,我的宿舍料理,今日份自拍,某人,喜欢散步的人,我,我,一人食,自己,朋友,睡前：艾草🌿泡脚🦶,拍手臂+拍大腿,今日感言,我,一人食,自己,我的萌宠,一人食,我的早餐打卡,我的美食日记,小伙伴们,我,听着今天的歌跑步,我个人hin喜欢,面包控,我,一人食,自己,早八人早餐,自己,我,我,我,自己,老铁们,我的,我,家人们,我,你,我,同事,我,认真做早餐,朋友,我个人,一人食,各位小红薯,集美们,朋友,我,我,本人新手小白,童年零食回忆杀,我的减脂餐,我,一人食,室友,一个人,我,空腹体"
144,人物类型,"个人, 伴侣","我,男朋友"
145,人物类型,"个人, 健身者","我,跑步"
146,人物类型,"个人, 学生","学习打卡,高中生,学习日常"
147,人物类型,"个人, 学生, 上班族","一人食,早八人,宿舍好物"
148,人物类型,"个人, 家庭","一人食,忙碌的人"
149,人物类型,"个人, 家庭成员","澳洲留学生,妈妈,家人,自己"
150,人物类型,"个人, 生活者","我,室友"
151,人物类型,"个人, 美食爱好者","我,终于终于快到周末了,抹茶脑袋狂喜,第一次卷卷儿"
152,人物类型,"个人,健康追求者","减肥,每日记录"
153,人物类型,"个人,医学生",医学生
154,人物类型,"个人,单人","一人食,小基数减肥"
155,人物类型,"个人,吃货","我,吃货"
156,人物类型,"个人,学生",研究生
157,人物类型,"个人,宠物主人","二九,某人,她"
158,人物类型,"个人,家庭","#宝宝辅食#,一个人食"
159,人物类型,"个人,家庭成员","家人们,我"
160,人物类型,"个人,患者","我,神经性贪食症"
161,人物类型,"个人,独立","我是吃货,吃货,一人食"
162,人物类型,"个人,美食博主","一人食,浪漫生活的记录者"
163,人物类型,"个人,美食爱好者","美食爱好者,一人食,我觉得,其实三文鱼鱼腩比鱼肉要好吃得多,手冲豆是朋友自己烘的"
164,人物类型,"个人,闺蜜",好闺蜜
165,人物类型,个人/一人,一人食吃什么
166,人物类型,个人/一人份,一人食
167,人物类型,个人/一人食,"一人食吃什么,女生必看,一人食吃什么,我每次做的"
168,人物类型,个人/上班族,"打工人,外甥女,朋友,自己,同事"
169,人物类型,个人/业余,"我,室友说"
170,人物类型,个人/业余爱好者,我
171,人物类型,个人/个人分享,"希望大家,我自己"
172,人物类型,个人/个人日记,我
173,人物类型,个人/个人经历,我
174,人物类型,个人/个体,"我,自己,小基数,碎碎念📣,嘴上抱怨,我,我,我,我,我,我,实际上活没少干,我自己,我,晨重,自己"
175,人物类型,个人/个体户,"当事人,鹿小葵"
176,人物类型,个人/亲人,"姨说,陪我姨"
177,人物类型,个人/亲友,友宝女
178,人物类型,个人/休闲,"自己,我,追剧的时候,记录生活"
179,人物类型,个人/伴侣,看某人加班
180,人物类型,个人/健康关注者,"女生茶,我的抗癌日记,我,自己,明天继续加油"
181,人物类型,个人/健康追求者,"我,健康饮食,减肥减脂,我,坚持自律打卡,自律期,吃货薯,吃不饱同学,热爱生活,减肥减脂"
182,人物类型,个人/健身者,"你,健身量,我们,锻炼,个人体重,健身房,上肢训练,我"
183,人物类型,个人/减肥者,"减肥打卡,我"
184,人物类型,个人/创业者,00后
185,人物类型,个人/单人,"一人食,一人食,一人食,一个人也要好好吃饭,给我看看你的晚餐,一人食"
186,人物类型,个人/单身,"一个人,假装自律,一人食,一人食,一人食"
187,人物类型,个人/博主,"个人观点,摘抄"
188,人物类型,个人/大众,"我,大家"
189,人物类型,个人/女大学生,"女大学生,在校减肥,我,女大学生,#女大学生在校减肥#"
190,人物类型,个人/女性,适合女生喝的酒
191,人物类型,个人/妈妈,"妈妈,自己,育儿嫂"
192,人物类型,个人/学生,"教师招聘考试,女大学生,考试,一人食,学生,大学生,学生,上课,体育课,凉白开,室友"
193,人物类型,个人/宠物主人,主播
194,人物类型,个人/家庭,"我,天津人,我,江浙沪家家户户,一人食,吃货,大人小孩,仙女们,一人食,今日晨重,今日运动,我,家人,自己,一人食吃什么,我的宅家美食日记,一人食,半天解决两小包,我,新手,自己,#一人食吃什么#,家人,家,超爱吃揪面片的我,我,吃不饱同学,带娃日常,亲子,早餐打卡,我,我,晚饭,麻麻,日常做饭,亲戚,亲戚朋友,一人食,自己,一起追剧,我的追剧,宝宝脾胃,午饭,童年,我,我妈,早饭,与朋友或家人分享,我,一人食吃什么,一人食,故乡,一人食,家人们,外婆,打工人,我,大家,宝宝们,一人食,我自己,娃,妈妈,老公,我自己,忽然想吃,一人食,他,邻居奶奶,一人食,我,自己,满满的芝士,她跑去买菜,兄弟,爹,我,减脂人士,和老妈子约,自己,二人食,不用减脂的姐妹们,姐妹们,90后宝妈创业,餵饱自己,我自己,我的美食日记,儿童,我做的,女性,一人食,空腹,控糖人士,一个人享用,满满的回忆,自己,娃,下班,自己做的,我,"
195,人物类型,个人/家庭主妇,"小院儿,我"
196,人物类型,个人/家庭成员,"儿子,家属,老公,妈妈,大人小孩都爱吃,我,我姐,我妈,自己想吃,家里"
197,人物类型,个人/小众,"一人食,小白"
198,人物类型,个人/小团体,"两个人三个人,朋友"
199,人物类型,个人/小家庭,一人食
200,人物类型,个人/居家,"姐妹,我"
201,人物类型,个人/年轻人,"170cm 108斤,18岁,裸辞后待业,95后"
202,人物类型,个人/忙碌,"追剧小零食,一人食"
203,人物类型,个人/情侣,"异地恋,男朋友,饭滴丫欣,婕璇林工作室,两个人准备"
204,人物类型,个人/接收者,"我,宝宝"
205,人物类型,个人/新娘,"婚纱,婚前减肥"
206,人物类型,个人/日常生活,"我,情绪不太稳定"
207,人物类型,个人/普通上班族,"打工人,兼职党"
208,人物类型,个人/普通消费者,今日份碎碎念中的第一人称叙述
209,人物类型,个人/朋友,"我,Chris,我,我朋友,本人,室友,台湾同事,下次叫男友还带我来,朋友说,朋友,姐妹,跟朋友约了吃火锅"
210,人物类型,个人/消费者,"我,我自己,自己,大家,一人求,我自己,打工人,学生党必备,我"
211,人物类型,个人/烘焙爱好者,"面包控,面包控减脂"
212,人物类型,个人/爱好者,"我,芝士控,我,手工薯,偶崽,浪漫生活的记录者,我的樱桃小嘴,抹茶控,面包控,一人食,面包控,我非常喜欢"
213,人物类型,个人/独享,"女孩,一人食"
214,人物类型,个人/独享者,一人食
215,人物类型,个人/独立,"出租屋生活,#美食分享#,一人食,#我的美食日记#,一人食,北漂,一人食,一人食"
216,人物类型,个人/独自,"一个人走墓园,骑着骑着便飘上了云端,自己"
217,人物类型,个人/独自享用,一人食
218,人物类型,个人/生活者,"减肥人,自己"
219,人物类型,个人/用户,"我,郭小胖,我,我买来红薯干和紫薯干"
220,人物类型,个人/留学生活,韩国留学生
221,人物类型,个人/社交,"发奖学金,奖励一顿好的"
222,人物类型,个人/社群,"互相监督,姐妹"
223,人物类型,个人/粉丝互动,"@^低谷期💦森九💦,@ID白妤姸. @麻瓜不是惋惜,帅哥美女"
224,人物类型,个人/美食爱好者,"吃货薯,吃不饱同学"
225,人物类型,个人/群体,姐妹们
226,人物类型,个人/群体回忆,"我,小伙伴们"
227,人物类型,个人/职场,"办公室,我,普拉提前台小姐姐,我自己"
228,人物类型,个人/自我反思,"自己,我"
229,人物类型,个人/自我提升,"努力成为更好的自己,自己"
230,人物类型,个人/自我监控,"我,现在的感受,初始体重,目标体重,称重,运动,饮食"
231,人物类型,个人/自我管理,"自己,我"
232,人物类型,个人/观众,"一人食,我"
233,人物类型,个人/读者,"我,读书人"
234,人物类型,个人DIY,"手作甜品,自己复刻,我,我,我,自制,莎莉鸡同学,特意买,自己做了六个,自己创意了一把,我,自己做,纯手工制作"
235,人物类型,个人DIY/家庭,"会做饭的男人,当代年轻人"
236,人物类型,个人DIY/家庭烘焙,"小米同学,小土豆姐妹"
237,人物类型,个人DIY者,"自己做,外国小姐姐"
238,人物类型,个人与亲友,"和表姐,巧云,老孙老俩口,凤英"
239,人物类型,个人与亲密关系,"男朋友,我"
240,人物类型,个人与同事,"fyi,实验室大哥们,自己,我,同事"
241,人物类型,个人与家人,"npy,富贵小狗,儿子,我妈,麻麻"
242,人物类型,"个人主播, 大型团队","专业摄影设备,技术支持"
243,人物类型,个人享受,"我,加个小食,谁还没吃过,我喜欢,于我而言,一个人吃,我爱吃水果,一人食,附近和喜欢按摩的朋友们,咱就是说,朋友,一人食,一人食,追剧小零食,追剧,我,我的美食日记,我,个人,自己,一人食,姐妹们,自己在家吃,办公室零食,馋了好久,独自享受,我,巧克力控,一人食,姐妹,我,全款买了,轻松时刻,一人食,我直接一口一个,我,减肥日常,一人食,一人食,妹妹们,我,我自己,我,我,周末,我,想想就幸福,吃货,#吃货薯看这里#,一个人,肥宅快乐水,脆弱的味蕾,一人食,我的追剧宝藏零食,小白心里软,一个人,一人食,休闲零食,追剧,享受,一人食,每晚睡前来一袋,个人体验,追剧,我和我的小闺蜜,我,光头饼干,打工,妈呀太香了,奖励自己,我,我,你还躺在被窝里,我,送给合适的人,吃完狂嗦手指,plmm,谁让咱在意颜值呢,我是吃货,一人食,生活美滋滋,分享,愉快的事情,下午茶,我,二人食,一人食"
244,人物类型,"个人享受, 单身/独处","仙女,一人食"
245,人物类型,"个人享受, 美食爱好者","自己,最幸福的人"
246,人物类型,"个人享受,可能是朋友","室友说,追剧吃"
247,人物类型,"个人享受,家庭","馋了好久,自己吃"
248,人物类型,"个人享受,美食爱好者","DNA动了,一人食"
249,人物类型,"个人享受,馈赠亲友","中秋节送礼,姐妹"
250,人物类型,个人享受/爱好者,"一人,悠闲"
251,人物类型,个人享受/独立,一人食
252,人物类型,个人享受/独自食用,"我的追剧宝藏零食,一人食"
253,人物类型,个人享受/观众,"追剧,追剧必备"
254,人物类型,个人享受/送礼,"送自己,送朋友"
255,人物类型,个人享受/零食爱好者,"真的巨好吃,一眼心动"
256,人物类型,个人享受或分享,"朋友分享,我"
257,人物类型,个人享受者,"看戏追剧吃,赶紧pm我下单啦,我"
258,人物类型,"个人享受者,社交分享者","朋友,我"
259,人物类型,个人享用,"不怎么爱吃面的我,一人食,一人食吃什么,一人食小锅分量正好,好吃到爆炸,一人食吃什么,今天晚餐,#一人食吃什么#,我,一人居一人食,一人食,一人食,一个人吃完了一整块,#芋泥脑袋#,一人食,宝宝辅食,绝对不腻,一人食,一人食,一人食吃什么,一个人,一人食,一人食吃什么,一人食吃什么,我,一人食,我的追剧宝藏零食,我一人就能炫5个,一个人干完,我,吃货薯,刘亦菲们,狂吃,一人食,我当场表演一个美女打滚,一人食吃什么"
260,人物类型,"个人享用,礼品接收者","我自己吃,送礼"
261,人物类型,个人享用/女性,女孩子很友好
262,人物类型,个人享用/小团体,"追剧,一人食"
263,人物类型,个人享用/送礼,"跟着买就对了,七夕小红书礼物季"
264,人物类型,个人享用或分享,"一人食,嘴馋的姐妹"
265,人物类型,个人享用者,"朋友推荐,我,一人食,炸鸡脑袋的小姐妹,减.脂期的宝贝,雯雯调配,蒲种人,个人分享,本宫饿了,我,我,追剧,一人一锅,见到谁我都安利,一人食,一人食,我,一口沦陷,一人食吃什么,我,一人食,妈呀太好吃了,好满足,我快吃完了,一人食,儿时零食,本人亲测,懒人,我,追剧,我,我,吃卤味,我,一人食,我,被我炫完了一袋,舍友,害羞R,美食爱好者,个人口味,一人食,@商家薯,一口又一口,无辣不欢的人,我,我的心头爱,追剧,最爱吃,我,我,一人食"
266,人物类型,"个人享用者, 礼物接收者","1-2人分量,送朋友,自己吃,朋友,好友,买4⃣️送1⃣️"
267,人物类型,"个人享用者,学生","零食,宿舍,学生"
268,人物类型,"个人享用者,家庭","家人,一人食"
269,人物类型,"个人享用者,美食爱好者","一人食,大家都试试"
270,人物类型,"个人休闲, 美食爱好者","我自己,文玩女孩,文玩主理人"
